analysis_window,score_col,aum_label,aum,gross_ann_return,net_ann_return,net_ann_vol,gross_sharpe,net_sharpe,max_drawdown,avg_daily_turnover,avg_gross_exposure,commission_ann_drag,slippage_ann_drag,borrow_cost_ann_drag,n_days
2010-2024 baseline reference under Section 6.3 costs,score_baseline,50M,50000000,0.037665557553956175,-0.07296717968074751,0.0330292133340014,1.1399979576307042,-2.209170982756426,-0.6828734052198353,1.999376864591545,0.9996884322957725,0.025192148493853473,0.07557644548156037,0.011962700481205386,3763
2010-2024 baseline reference under Section 6.3 costs,score_baseline,250M,250000000,0.028814019582953154,-0.06257708429642739,0.03297124061782103,0.8749057056169335,-1.8979293203363519,-0.6170841750833125,1.6661935772844254,0.8330967886422127,0.020994039073783763,0.06298211722135127,0.009043122303171546,3763
2010-2024 baseline reference under Section 6.3 costs,score_baseline,1B,1000000000,0.006153166251797515,-0.03441971634709606,0.024093511365059408,0.2566032818520296,-1.4285886280989244,-0.40664547461195966,0.7271014271913419,0.3635507135956709,0.009161477982610907,0.02748443394783272,0.004509173317472043,3763
