analysis_window,score_col,aum_label,avg_n_long,avg_n_short,pct_days_with_positions,avg_n_long_active,avg_n_short_active,avg_daily_turnover,avg_roundtrip_turnover,avg_daily_turnover_active,avg_gross_exposure_active,basket_quantile_each_side,weighting_scheme
"2010-2024 final Random Forest ML strategy with zero-exposure warm-up dates, final basket and signal-strength scaling under Section 6.3 costs",score_random_forest,50M,0.9181504119053946,0.9181504119053946,0.23252723890512889,3.9485714285714284,3.9485714285714284,0.2838586893234589,0.2838586893234589,1.2207545690562012,0.6103772845281006,0.005,equal
"2010-2024 final Random Forest ML strategy with zero-exposure warm-up dates, final basket and signal-strength scaling under Section 6.3 costs",score_random_forest,250M,0.9181504119053946,0.9181504119053946,0.23252723890512889,3.9485714285714284,3.9485714285714284,0.14486790272088082,0.14486790272088082,0.6230147633584852,0.3115073816792426,0.005,equal
"2010-2024 final Random Forest ML strategy with zero-exposure warm-up dates, final basket and signal-strength scaling under Section 6.3 costs",score_random_forest,1B,0.9181504119053946,0.9181504119053946,0.23252723890512889,3.9485714285714284,3.9485714285714284,0.043941648441078125,0.043941648441078125,0.18897419781003086,0.09448709890501543,0.005,equal
