period,model_score_first_available_date,model_score_last_available_date,start,end,n_days,cumulative_net_return,net_ann_return,net_ann_vol,net_sharpe,max_drawdown,avg_gross_exposure,avg_daily_turnover,pct_days_with_positions
official_full_window_2010_2024,2018-01-02,2024-12-31,2010-01-20,2024-12-31,3763,0.3381684424812008,0.01969937835113522,0.03659916401834976,0.5382466752863132,-0.09885701261451374,0.07243395136044041,0.14486790272088082,0.23252723890512889
documented_zero_exposure_model_warmup,2018-01-02,2024-12-31,2010-01-20,2017-12-29,2002,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
active_expanding_window_ml_oos,2018-01-02,2024-12-31,2018-01-02,2024-12-31,1761,0.3381684424812008,0.04256648047720746,0.053471989451223945,0.7960519313768142,-0.09885701261451374,0.1547807830603846,0.3095615661207692,0.49687677455990914
