date,gross_pnl,gross_notional,long_notional,short_notional,borrow_cost,n_long,n_short,n_positions,n_cap_binding,pct_cap_binding,max_participation,gross_exposure,entry_turnover,exit_turnover,roundtrip_turnover,gross_return,trading_cost_return,commission_return,slippage_return,trading_cost,borrow_cost_return,return_after_commission,return_after_slippage,net_return_before_borrow,net_return,gross_return_bps,commission_bps,slippage_bps,borrow_bps,net_return_bps,hit_full_gross,capacity_constrained
2018-01-02,456245.22285954666,250000000.0,125000000.0,124999999.99999999,5742.992214503433,98,98,196,42,0.21428571428571427,0.05,1.0,1.0,1.0,2.0,0.0018249808914381866,0.0004,0.0001,0.0003,100000.0,2.2971968858013732e-05,0.0017249808914381866,0.0014249808914381867,0.0014249808914381867,0.001402008922580173,18.249808914381866,1.0,2.9999999999999996,0.22971968858013733,14.02008922580173,True,False
2018-01-03,-11434.587158083832,250000000.00000003,125000000.0,125000000.00000001,4563.644558153323,98,98,196,38,0.19387755102040816,0.05000000000000001,1.0000000000000002,1.0000000000000002,1.0000000000000002,2.0000000000000004,-4.573834863233533e-05,0.00040000000000000013,0.00010000000000000003,0.00030000000000000003,100000.00000000003,1.8254578232613292e-05,-0.00014573834863233537,-0.0004457383486323354,-0.0004457383486323354,-0.0004639929268649487,-0.4573834863233533,1.0000000000000002,3.0000000000000004,0.18254578232613292,-4.639929268649487,True,False
2018-01-04,31232.896256210384,250000000.0,124999999.99999999,125000000.0,4740.954722111015,98,98,196,22,0.11224489795918367,0.049999999999999996,1.0,1.0,1.0,2.0,0.00012493158502484153,0.0004,0.0001,0.0003,100000.0,1.896381888844406e-05,2.4931585024841527e-05,-0.00027506841497515846,-0.00027506841497515846,-0.00029403223386360254,1.2493158502484154,1.0,2.9999999999999996,0.18963818888444062,-2.9403223386360255,True,False
2018-01-05,335120.3671466885,250000000.0,124999999.99999997,125000000.0,4432.741997148423,99,99,198,29,0.14646464646464646,0.049999999999999996,1.0,1.0,1.0,2.0,0.001340481468586754,0.0004,0.0001,0.0003,100000.0,1.7730967988593694e-05,0.001240481468586754,0.000940481468586754,0.000940481468586754,0.0009227505005981603,13.404814685867539,1.0,2.9999999999999996,0.17730967988593693,9.227505005981604,True,False
2018-01-08,-391856.0951296988,250000000.0,124999999.99999996,125000000.00000001,3911.346807707858,99,99,198,35,0.17676767676767677,0.049999999999999996,1.0,1.0,1.0,2.0,-0.0015674243805187953,0.0004,0.0001,0.0003,100000.0,1.5645387230831432e-05,-0.0016674243805187953,-0.0019674243805187955,-0.0019674243805187955,-0.001983069767749627,-15.674243805187952,1.0,2.9999999999999996,0.1564538723083143,-19.83069767749627,True,False
2018-01-09,-250806.86164128353,250000000.0,124999999.99999999,124999999.99999999,5298.860455733089,99,99,198,38,0.1919191919191919,0.05000000000000001,1.0,1.0,1.0,2.0,-0.001003227446565134,0.0004,0.0001,0.0003,100000.0,2.1195441822932355e-05,-0.001103227446565134,-0.001403227446565134,-0.001403227446565134,-0.0014244228883880663,-10.03227446565134,1.0,2.9999999999999996,0.21195441822932357,-14.244228883880663,True,False
2018-01-10,-78042.76452039406,250000000.00000003,125000000.0,125000000.00000001,5183.198629756409,98,98,196,37,0.18877551020408162,0.05000000000000001,1.0000000000000002,1.0000000000000002,1.0000000000000002,2.0000000000000004,-0.00031217105808157625,0.00040000000000000013,0.00010000000000000003,0.00030000000000000003,100000.00000000003,2.0732794519025635e-05,-0.0004121710580815763,-0.0007121710580815764,-0.0007121710580815764,-0.000732903852600602,-3.1217105808157624,1.0000000000000002,3.0000000000000004,0.20732794519025635,-7.32903852600602,True,False
2018-01-11,-231984.53315477332,250000000.0,124999999.99999999,125000000.0,5011.103880636663,98,98,196,47,0.23979591836734693,0.05000000000000001,1.0,1.0,1.0,2.0,-0.0009279381326190933,0.0004,0.0001,0.0003,100000.0,2.004441552254665e-05,-0.0010279381326190934,-0.0013279381326190933,-0.0013279381326190933,-0.0013479825481416399,-9.279381326190933,1.0,2.9999999999999996,0.20044415522546652,-13.479825481416398,True,False
2018-01-12,194097.17692632918,249999999.99999997,124999999.99999996,124999999.99999999,5604.528443579986,98,98,196,54,0.2755102040816326,0.049999999999999996,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.9999999999999998,0.0007763887077053167,0.00039999999999999996,9.999999999999999e-05,0.0002999999999999999,99999.99999999999,2.2418113774319943e-05,0.0006763887077053166,0.00037638870770531673,0.00037638870770531673,0.0003539705939309968,7.763887077053167,0.9999999999999999,2.999999999999999,0.22418113774319942,3.5397059393099677,True,False
2018-01-16,-31607.153494152757,250000000.0,125000000.0,125000000.00000001,6796.828399919863,97,97,194,38,0.1958762886597938,0.05000000000000001,1.0,1.0,1.0,2.0,-0.00012642861397661102,0.0004,0.0001,0.0003,100000.0,2.718731359967945e-05,-0.00022642861397661102,-0.000526428613976611,-0.000526428613976611,-0.0005536159275762904,-1.2642861397661103,1.0,2.9999999999999996,0.2718731359967945,-5.536159275762905,True,False
2018-01-17,-146308.35238903333,249999999.99999994,124999999.99999994,124999999.99999997,5674.728972548353,96,96,192,36,0.1875,0.05000000000000001,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.9999999999999996,-0.0005852334095561334,0.0003999999999999999,9.999999999999998e-05,0.0002999999999999999,99999.99999999997,2.2698915890193414e-05,-0.0006852334095561333,-0.0009852334095561332,-0.0009852334095561332,-0.0010079323254463266,-5.852334095561334,0.9999999999999998,2.999999999999999,0.22698915890193413,-10.079323254463265,True,False
2018-01-18,249991.48248540884,250000000.0,125000000.00000001,125000000.0,5112.17547034108,97,97,194,50,0.25773195876288657,0.05000000000000001,1.0,1.0,1.0,2.0,0.0009999659299416354,0.0004,0.0001,0.0003,100000.0,2.044870188136432e-05,0.0008999659299416354,0.0005999659299416355,0.0005999659299416355,0.0005795172280602712,9.999659299416354,1.0,2.9999999999999996,0.2044870188136432,5.795172280602712,True,False
