scenario,excluded_rule,gross_ann_return,net_ann_return,gross_sharpe,net_sharpe,borrow_cost_ann_drag,avg_gross_exposure,n_days,gross_bps_per_day,share_of_short_side_gross_pnl,avg_short_notional_share
tiered_borrow_all_names,None; apply A/B/C borrow tiers.,0.059366636305599574,0.04256648047720746,1.1059706670432115,0.7960519313768142,0.00039732363224001684,0.1547807830603846,1761,,,
hard_exclude_tier_C,Remove Tier C names before portfolio construction.,0.05947341436050202,0.04285180966497193,1.1248105943375672,0.8137844784761137,0.0003734843200723709,0.1533061775267199,1761,,,
hard_exclude_tier_BC,Remove Tier B and Tier C names before portfolio construction.,0.07615843310119863,0.05927940597856196,1.5225631880334567,1.1924304873596179,0.0003079301955611708,0.15396509778058537,1761,,,
short_interest_gt_10pct_short_book_contribution,Diagnostic only; no names excluded.,,,,,,,875,-0.890907767695659,0.43167115885796825,0.0392908204261145
