aum_label,htb_tier,total_short_notional,total_borrow_cost,n_rows,short_notional_share,borrow_cost_share
50M,A,12326477720.616312,195658.37651771924,5651,0.9231931440677476,0.6628206629400105
50M,B,949332166.3556061,75343.82272663541,1038,0.07110035545325741,0.2552379479831802
50M,C,76193212.08028333,24188.32129532804,221,0.005706500478994941,0.08194138907680944
250M,A,32123638935.479706,509899.03072190005,5651,0.9428407125139576,0.734583155607342
250M,B,1822855025.0541291,144671.03373445472,1038,0.053501470804214114,0.20841950677014215
250M,C,124625910.633325,39563.78115343651,221,0.0036578166818282435,0.05699733762251576
1B,A,38128861857.33704,605220.0294815403,5651,0.9223659658865423,0.6812352644159941
1B,B,3089570529.9132175,245204.0103105728,1038,0.07473904457627123,0.27600147163483807
1B,C,119673383.69399166,37991.55037904497,221,0.00289498953718648,0.04276326394916786
