date,score_spread,n_candidates,n_each_side,spread_threshold,spread_threshold_high,gross_multiplier
2018-01-02,0.0006834770593716682,989,4,,,1.0
2018-01-03,0.0006126954283019376,987,4,,,1.0
2018-01-04,0.0005742537918824766,989,4,,,1.0
2018-01-05,0.0006156497705330514,991,4,,,1.0
2018-01-08,0.0006100517848331112,991,4,,,1.0
2018-01-09,0.0005926451716478922,990,4,,,1.0
2018-01-10,0.0006135451521131659,988,4,,,1.0
2018-01-11,0.000584166064674484,987,4,,,1.0
2018-01-12,0.0005749483088410604,989,4,,,1.0
2018-01-16,0.0005453725147919544,974,4,,,1.0
2018-01-17,0.0006142945989111503,968,4,,,1.0
2018-01-18,0.0005558070098970932,973,4,,,1.0
2018-01-19,0.000537918767687835,966,4,,,1.0
2018-01-22,0.0006098433545699139,950,4,,,1.0
2018-01-23,0.0005543442107880942,912,4,,,1.0
2018-01-24,0.0005671885904278514,910,4,,,1.0
2018-01-25,0.0006213002589465067,929,4,,,1.0
2018-01-26,0.0006779353289537246,941,4,,,1.0
2018-01-29,0.0006304056834155877,929,4,,,1.0
2018-01-30,0.000601944558717501,871,4,,,1.0
2018-01-31,0.0006428225425347349,868,4,,,1.0
2018-02-01,0.0005584594378611027,896,4,,,1.0
2018-02-02,0.000578788416928812,928,4,,,1.0
2018-02-05,0.0006272205141237107,922,4,,,1.0
2018-02-06,0.0006458045434745395,877,4,,,1.0
2018-02-07,0.0005284462919021302,879,4,,,1.0
2018-02-08,0.0006518473190363609,915,4,,,1.0
2018-02-09,0.0006802623353080252,945,4,,,1.0
2018-02-12,0.0007389464428521317,947,4,,,1.0
2018-02-13,0.0007261146305376606,915,4,,,1.0
2018-02-14,0.0007235081185937215,913,4,,,1.0
2018-02-15,0.0006689262997785399,923,4,,,1.0
2018-02-16,0.0006292212785521515,956,4,,,1.0
2018-02-20,0.000568479509100114,926,4,,,1.0
2018-02-21,0.0005547835455648189,898,4,,,1.0
2018-02-22,0.0006042715876979005,917,4,,,1.0
2018-02-23,0.0005986736984483628,945,4,,,1.0
2018-02-26,0.0006007760229405401,946,4,,,1.0
2018-02-27,0.0005895625514998321,932,4,,,1.0
2018-02-28,0.0006126542492945051,939,4,,,1.0
2018-03-01,0.0005494284946685629,966,4,,,1.0
2018-03-02,0.0006280452593606653,978,4,,,1.0
2018-03-05,0.0005636985098403971,981,4,,,1.0
2018-03-06,0.0005653294004979322,974,4,,,1.0
2018-03-07,0.0005389591615794721,975,4,,,1.0
2018-03-08,0.0005400226795735029,985,4,,,1.0
2018-03-09,0.0005808834046144769,991,4,,,1.0
2018-03-12,0.0005882091957493391,993,4,,,1.0
2018-03-13,0.0005380213041436519,990,4,,,1.0
2018-03-14,0.0006094549244785588,990,4,,,1.0
2018-03-15,0.0005845674644552273,991,4,,,1.0
2018-03-16,0.0005668745679854322,993,4,,,1.0
2018-03-19,0.0005593171172965244,992,4,,,1.0
2018-03-20,0.0006446820323262825,985,4,,,1.0
2018-03-21,0.0005574873662564366,982,4,,,1.0
2018-03-22,0.0004955389580062892,983,4,,,1.0
2018-03-23,0.0005773009943434754,988,4,,,1.0
2018-03-26,0.0006856203606052779,989,4,,,1.0
2018-03-27,0.0006448586903367925,987,4,,,1.0
2018-03-28,0.0007693365790228795,989,4,,,1.0
2018-03-29,0.0007456527524963903,992,4,0.0006110927706176688,0.000763865963272086,0.5
2018-04-02,0.0007105253694062225,991,4,0.0006126542492945051,0.0007658178116181313,0.5
2018-04-03,0.0007672271337665714,989,4,0.0006126789566989646,0.0007658486958737057,1.0
2018-04-04,0.0007873698132426778,988,4,0.0006128653730641833,0.0007660817163302291,1.0
2018-04-05,0.000602317606444261,992,4,0.0006133752073509202,0.0007667190091886502,0.0
2018-04-06,0.0007092102563130287,993,4,0.0006130353178264289,0.0007662941472830361,0.5
2018-04-09,0.0007094708688580272,992,4,0.0006135451521131659,0.0007669314401414573,0.5
2018-04-10,0.000676429454777306,990,4,0.0006139948201919565,0.0007674935252399457,0.5
2018-04-11,0.0005814800691114162,988,4,0.0006145656332355305,0.0007682070415444131,0.0
2018-04-12,0.0006449252418963201,985,4,0.0006141447095515534,0.0007676808869394418,0.5
2018-04-13,0.0006327059783000072,976,4,0.0006148366675599108,0.0007685458344498885,0.5
2018-04-16,0.0006657580046530813,967,4,0.0006156497705330514,0.0007695622131663144,0.5
2018-04-17,0.0006132601861890095,940,4,0.0006190400635811246,0.0007738000794764058,0.0
2018-04-18,0.000622829471452806,929,4,0.0006167798682157425,0.0007709748352696781,0.5
2018-04-19,0.0006473062249101422,932,4,0.0006201701612638156,0.0007752127015797695,0.5
2018-04-20,0.0006547904828077191,922,4,0.0006219119439490264,0.000777389929936283,0.5
2018-04-23,0.0006333711066067785,889,4,0.000622829471452806,0.0007785368393160076,0.5
2018-04-24,0.0007224185215880236,795,3,0.0006254640970553488,0.0007818301213191861,0.5
2018-04-25,0.0006747409956123302,785,3,0.0006273854631711016,0.000784231828963877,0.5
2018-04-26,0.0006796939884722385,827,4,0.0006278803103132744,0.0007848503878915929,0.5
