analysis_window,score_col,aum_label,gross_sharpe,after_commission_sharpe,after_slippage_sharpe,net_sharpe,commission_sharpe_drag,slippage_sharpe_drag,borrow_sharpe_drag,trading_cost_sharpe_drag,gross_to_net_sharpe_drag
"2010-2024 final Random Forest ML strategy with zero-exposure warm-up dates, final basket and signal-strength scaling under Section 6.3 costs",score_random_forest,50M,0.5076724690974272,0.4358551871115322,0.2212050530196292,0.21330842800661567,0.07181728198589504,0.214650134091903,0.007896625013013525,0.286467416077798,0.2943640410908116
"2010-2024 final Random Forest ML strategy with zero-exposure warm-up dates, final basket and signal-strength scaling under Section 6.3 costs",score_random_forest,250M,0.744143665142235,0.6940497183441412,0.5434230808821953,0.5382466752863132,0.05009394679809376,0.15062663746194593,0.005176405595882061,0.2007205842600397,0.20589698985592175
"2010-2024 final Random Forest ML strategy with zero-exposure warm-up dates, final basket and signal-strength scaling under Section 6.3 costs",score_random_forest,1B,0.41600811013421235,0.38387529160691825,0.2875529488069941,0.284008595468664,0.032132818527294105,0.09632234279992413,0.0035443533383300863,0.12845516132721824,0.13199951466554832
