analysis_window,score_col,aum_label,aum,gross_ann_return,net_ann_return,net_ann_vol,gross_sharpe,net_sharpe,max_drawdown,avg_daily_turnover,avg_gross_exposure,commission_ann_drag,slippage_ann_drag,borrow_cost_ann_drag,n_days
"2010-2024 final Random Forest ML strategy with zero-exposure warm-up dates, final basket and signal-strength scaling under Section 6.3 costs",score_random_forest,50M,50000000,0.025764392097986644,0.01080036006951457,0.05063259886374298,0.5076724690974272,0.21330842800661567,-0.20664187954172009,0.2838586893234589,0.14192934466172946,0.003576619485475584,0.010729858456426747,0.0003953654593462665,3763
"2010-2024 final Random Forest ML strategy with zero-exposure warm-up dates, final basket and signal-strength scaling under Section 6.3 costs",score_random_forest,250M,250000000,0.027356339464777113,0.01969937835113522,0.03659916401834976,0.744143665142235,0.5382466752863132,-0.09885701261451374,0.14486790272088082,0.07243395136044041,0.0018253355742830983,0.005476006722849295,0.00018593859058588084,3763
"2010-2024 final Random Forest ML strategy with zero-exposure warm-up dates, final basket and signal-strength scaling under Section 6.3 costs",score_random_forest,1B,1000000000,0.007223836852546794,0.004935595073787491,0.0173783299256943,0.41600811013421235,0.284008595468664,-0.06380359510865874,0.043941648441078125,0.021970824220539063,0.0005536647703575844,0.0016609943110727531,5.9495277364637746e-05,3763
