window,start,end,n_days,gross_cumulative_return,net_cumulative_return,gross_sharpe,net_sharpe,net_ann_vol,max_drawdown,avg_daily_turnover,avg_gross_exposure,avg_gross_bps,avg_commission_bps,avg_slippage_bps,avg_borrow_bps,avg_net_bps,best_day_net_return,worst_day_net_return
2018_Q4,2018-10-01,2018-12-31,63,0.00460946676465146,-0.021378344606178157,0.31815074525023834,-1.4190701887194086,0.05835514760538245,-0.02414207948538838,2.0,1.0,0.7964926187770128,1.0,3.0,0.15957700543385875,-3.363084386656845,0.008955058612013553,-0.010118823524215344
2020_Q1,2020-01-01,2020-03-31,62,-0.03825889190244203,-0.06296794981734,-1.5022826630675372,-2.3800680144580757,0.09759932022673994,-0.07616454351753155,2.0,1.0,-6.103504012139047,1.0,3.0,0.19444447257700048,-10.297948484716043,0.01769772298786524,-0.02116399813815338
2022,2022-01-01,2022-12-31,251,-0.12164909183029093,-0.2072653455032415,-1.4801273895307745,-2.521359125228965,0.08249462496701764,-0.21359953828514477,2.0,1.0,-5.031981587121968,1.0,3.0,0.08296189800786186,-9.114943485129826,0.016620843285671313,-0.01578369465621397
2022_H2,2022-07-01,2022-12-31,127,-0.06263435019154928,-0.11004417868921335,-1.4174794012321912,-2.430400574651826,0.084974955610197,-0.11208332822555966,2.0,1.0,-4.949911954931953,1.0,3.0,0.08376818355625938,-9.033680138488211,0.016620843285671313,-0.01578369465621397
