htb_tier,n_stock_days,share,borrow_annual_bps,borrow_daily_bps
A,4356685,0.8182569959739672,40,0.15873015873015872
B,762671,0.1432421396948509,200,0.7936507936507936
C,204992,0.03850086433118196,800,3.1746031746031744
