htb_tier,n_stock_days,share,borrow_annual_bps,borrow_daily_bps
A,3037426,0.8446571595580257,40,0.15873015873015872
B,453330,0.12606345969990373,200,0.7936507936507936
C,105290,0.029279380742070597,800,3.1746031746031744
